Well_ID,Region,Operator,Maintenance_Type,Shift,Equipment_Status,Weather_Condition,Alert_Level,Production_Date,Last_Maintenance_Date,No_of_Incidents,Production_Barrels,Temperature_C
W-15,Qatar,ExxonMobil,Corrective,Day,Active,Cloudy,Medium,2023-09-20,2023-03-06,2,581.17,48.0
W-07,Qatar,Chevron,Corrective,Day,Standby,Rainy,Low,2024-10-27,2024-08-06,5,403.57,41.5
W-07,Qatar,TotalEnergies,Routine,Night,Active,Rainy,Low,2024-05-27,2024-02-09,6,615.06,36.6
W-15,Texas,TotalEnergies,Routine,Night,Active,Sunny,Low,2024-02-24,2023-10-05,4,462.91,23.6
W-04,Texas,Shell,Corrective,Day,Active,Sandstorm,High,2023-04-20,2022-09-06,4,479.55,33.9
W-05,North Sea,TotalEnergies,Routine,Night,Failure,Cloudy,Low,2023-04-20,2022-10-24,4,372.97,23.6
W-11,Qatar,TotalEnergies,Routine,Night,Standby,Sunny,Low,2023-02-10,2023-01-16,2,587.69,44.0
W-06,Algeria,Chevron,Corrective,Day,Standby,Cloudy,Low,2024-08-29,2023-09-15,8,347.13,24.3
W-05,North Sea,ExxonMobil,Corrective,Day,Standby,Cloudy,Medium,2024-02-25,2024-01-25,3,412.44,34.4
W-07,Texas,Chevron,Routine,Day,Active,Rainy,Medium,2024-05-10,2023-06-01,4,484.26,24.5
W-06,Algeria,BP,Routine,Day,Active,Windy,Low,2023-01-15,2021-12-17,8,325.35,33.6
W-03,Texas,Shell,Routine,Night,Failure,Sunny,Low,2024-11-09,2024-10-01,4,451.98,25.2
W-10,Algeria,Shell,Routine,Night,Standby,Windy,Low,2024-08-05,2024-01-10,2,422.7,15.6
W-07,North Sea,BP,Routine,Night,Failure,Windy,Medium,2023-05-29,2022-12-27,3,448.06,19.4
W-08,Texas,Chevron,Routine,Day,Active,Rainy,Low,2023-05-08,2023-02-02,6,515.88,28.2
W-06,North Sea,BP,Routine,Night,Active,Windy,Low,2023-05-09,2022-09-26,1,394.69,26.6
W-07,Texas,Shell,Corrective,Night,Active,Windy,Low,2023-08-01,2022-09-18,11,437.87,29.0
W-06,Abu Dhabi,BP,Routine,Day,Active,Sandstorm,High,2024-01-03,2023-01-12,3,384.79,34.0
W-08,Algeria,ExxonMobil,Routine,Day,Active,Cloudy,Low,2023-10-30,2023-04-06,7,281.75,33.2
W-04,Qatar,Shell,Routine,Night,Active,Windy,Low,2023-07-23,2022-11-22,4,585.86,36.3
W-07,North Sea,Shell,Routine,Day,Active,Sunny,Low,2024-03-04,2023-04-23,7,362.5,35.7
W-04,Algeria,ExxonMobil,Corrective,Night,Active,Rainy,Low,2023-04-08,2022-05-11,5,426.29,34.1
W-05,North Sea,BP,Routine,Day,Standby,Windy,Low,2023-07-24,2022-07-19,2,493.49,31.9
W-04,Algeria,ExxonMobil,Routine,Night,Active,Cloudy,Medium,2023-09-14,2023-02-03,3,274.37,30.5
W-05,Qatar,Chevron,Routine,Day,Failure,Rainy,Medium,2023-11-16,2023-07-20,4,567.83,37.2
W-01,North Sea,Chevron,Routine,Day,Active,Windy,Low,2024-07-03,2023-12-24,11,354.31,22.9
W-09,Texas,TotalEnergies,Routine,Day,Active,Sandstorm,Low,2023-05-20,2022-07-19,2,599.42,31.5
W-09,Texas,Shell,Emergency,Night,Active,Cloudy,Medium,2023-12-26,2023-07-26,7,391.57,29.4
W-09,North Sea,ExxonMobil,Routine,Day,Active,Sandstorm,Low,2024-02-19,2023-02-03,10,470.47,30.0
W-15,North Sea,TotalEnergies,Routine,Night,Standby,Windy,Low,2023-02-02,2022-05-15,2,485.04,39.3
W-12,Texas,TotalEnergies,Routine,Night,Active,Cloudy,High,2024-03-01,2023-10-01,5,373.45,38.7
